time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-04-19T23:58:22.422Z,0.1783,96.5403,10,6,mww,,34,1.523,0.93,us,us6000e30x,2021-04-20T02:07:41.658Z,"255 km S of Sinabang, Indonesia",earthquake,7.3,1.8,0.083,14,reviewed,us,us
2021-04-18T14:14:36.744Z,23.8717,121.5344,10,5.8,mww,,36,0.305,0.7,us,us6000e2mv,2021-04-19T23:57:36.160Z,"13 km SSW of Hualien City, Taiwan",earthquake,4.2,1.8,0.054,33,reviewed,us,us
2021-04-18T06:41:49.928Z,29.7931,50.6793,8,5.8,mww,,21,6.762,0.93,us,us6000e2k3,2021-04-20T07:02:16.283Z,"28 km NNE of Bandar-e Genāveh, Iran",earthquake,7.2,1.8,0.055,32,reviewed,us,us
2021-04-18T00:29:25.038Z,38.2705,141.8347,31.29,5.6,mb,,40,2.585,0.78,us,us6000e2hq,2021-04-19T00:35:44.512Z,"49 km ESE of Ishinomaki, Japan",earthquake,6.5,4.3,0.048,150,reviewed,us,us
2021-04-18T00:29:12.499Z,38.3584,141.9073,51.69,5.6,mww,,40,2.513,0.81,us,us6000e2hf,2021-04-20T16:59:29.040Z,"53 km E of Ishinomaki, Japan",earthquake,6.6,5.3,0.066,22,reviewed,us,us
2021-04-14T10:55:15.094Z,0.2114,96.652,10,5.5,mww,,57,1.424,0.78,us,us6000e1g3,2021-04-15T10:58:42.347Z,"252 km S of Sinabang, Indonesia",earthquake,7,1.8,0.063,24,reviewed,us,us
2021-04-14T04:33:29.184Z,1.8614,-100.994,10,5.7,mww,,32,15.579,0.64,us,us6000e1ec,2021-04-15T14:34:25.040Z,"Galapagos Triple Junction region",earthquake,8.7,1.8,0.057,30,reviewed,us,us
2021-04-10T11:38:32.429Z,-3.4527,145.7212,10,6,mww,,44,2.158,1.11,us,us6000e0lk,2021-04-15T14:44:00.040Z,"195 km N of Madang, Papua New Guinea",earthquake,4.6,1.8,0.052,35,reviewed,us,us
2021-04-10T09:30:44.075Z,4.1069,124.6681,311.31,6.1,mww,,21,3.079,1.26,us,us6000e0k5,2021-04-12T10:00:54.592Z,"168 km SSW of Sarangani, Philippines",earthquake,7.3,5.1,0.041,57,reviewed,us,us
2021-04-10T07:14:02.051Z,-62.4009,-58.3064,10,5.5,mww,,90,0.233,0.52,us,us6000e0j2,2021-04-11T07:18:26.543Z,"South Shetland Islands",earthquake,3.5,1.8,0.089,12,reviewed,us,us
2021-04-10T07:00:17.391Z,-8.5622,112.519,82.28,6,mww,,26,1.617,1.15,us,us6000e0iy,2021-04-12T10:34:57.247Z,"44 km SSW of Gongdanglegi Kulon, Indonesia",earthquake,6.9,5.5,0.078,16,reviewed,us,us
2021-04-08T17:10:18.765Z,63.2075,-148.5817,77.7,5.5,mww,,,,0.73,ak,ak0214icukav,2021-04-19T17:20:28.734Z,"27 km SE of Cantwell, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2021-04-07T18:48:00.953Z,-28.8376,-176.5327,10,5.6,mww,,59,15.497,0.86,us,us6000dzt8,2021-04-10T23:55:39.040Z,"Kermadec Islands region",earthquake,11.8,1.8,0.098,10,reviewed,us,us
2021-04-07T09:53:28.894Z,-29.1007,-176.6725,10,6,mww,,28,10.803,1.38,us,us6000dzlv,2021-04-08T09:56:30.069Z,"Kermadec Islands region",earthquake,11.4,1.9,0.093,11,reviewed,us,us
2021-04-07T05:13:15.784Z,-3.6213,153.9878,437.17,5.6,mww,,78,1.906,0.95,us,us6000dzkn,2021-04-15T15:10:02.040Z,"206 km ENE of Kokopo, Papua New Guinea",earthquake,10.6,6.3,0.058,29,reviewed,us,us
2021-04-06T08:16:15.778Z,-29.5222,-176.9379,10,5.7,mww,,70,0.908,1.26,us,us6000dzd6,2021-04-09T06:11:05.761Z,"Kermadec Islands region",earthquake,5.8,1.7,0.051,37,reviewed,us,us
2021-04-05T07:37:50.686Z,-37.5205,179.6745,10,6,mww,,54,1.088,0.57,us,us6000dz3c,2021-04-10T23:39:11.964Z,"193 km NE of Gisborne, New Zealand",earthquake,6.6,1.8,0.093,11,reviewed,us,us
2021-04-03T20:26:00.609Z,-8.7907,67.6317,10,5.6,mww,,55,4.965,0.66,us,us6000dytb,2021-04-18T02:06:33.602Z,"Mid-Indian Ridge",earthquake,5.6,1.7,0.073,18,reviewed,us,us
2021-04-03T18:42:01.175Z,-5.1256,128.1473,326,5.9,mww,,10,4.225,0.9,us,us6000dysl,2021-04-09T15:58:34.376Z,"158 km S of Ambon, Indonesia",earthquake,6.4,1.8,0.039,62,reviewed,us,us
2021-04-03T01:16:39.883Z,-57.9898,-7.8147,10,6.6,mww,,36,13.892,1.25,us,us6000dynd,2021-04-04T01:20:05.970Z,"east of the South Sandwich Islands",earthquake,9.7,1.7,0.05,39,reviewed,us,us
2021-04-01T22:10:11.321Z,-30.0234,-177.4672,10,5.6,mww,,36,0.873,0.49,us,us6000dydn,2021-04-11T21:24:22.050Z,"Kermadec Islands, New Zealand",earthquake,3.9,1.7,0.063,24,reviewed,us,us
2021-04-01T15:11:18.126Z,-21.8027,-179.3845,593.89,6,mww,,18,4.702,0.79,us,us6000dy9x,2021-04-06T14:25:54.645Z,"Fiji region",earthquake,9.2,3.1,0.066,22,reviewed,us,us
2021-04-01T09:56:37.576Z,-29.9502,-177.6507,20,6.5,mww,,30,0.743,1.44,us,us6000dy64,2021-04-14T18:58:31.040Z,"Kermadec Islands, New Zealand",earthquake,7.8,1.8,0.069,20,reviewed,us,us
2021-03-30T21:35:48.696Z,-35.3756,-106.0368,10,5.5,mww,,100,8.689,0.68,us,us6000dxr3,2021-04-08T02:49:24.207Z,"southern East Pacific Rise",earthquake,12.1,1.8,0.083,14,reviewed,us,us
2021-03-29T17:27:23.269Z,34.3549,87.6921,8,5.5,mww,,46,5.478,0.73,us,us6000dxge,2021-04-12T21:22:20.471Z,"western Xizang",earthquake,7.4,1.7,0.093,11,reviewed,us,us
2021-03-28T23:01:46.554Z,43.6944,-28.8062,10,5.9,mww,,18,6.426,0.63,us,us6000dx92,2021-03-30T14:44:31.654Z,"northern Mid-Atlantic Ridge",earthquake,7.3,1.7,0.038,67,reviewed,us,us
2021-03-28T00:26:55.823Z,33.6348,140.263,40,5.7,mww,,18,0.64,0.84,us,us6000dx32,2021-04-09T02:48:50.861Z,"153 km SSE of Tateyama, Japan",earthquake,6.9,1.8,0.052,35,reviewed,us,us
2021-03-27T13:47:55.267Z,42.4479,16.0496,7,5.5,mww,,30,1.651,0.88,us,us6000dx0m,2021-04-19T13:47:29.843Z,"55 km N of Peschici, Italy",earthquake,4.6,1.8,0.043,53,reviewed,us,us
2021-03-26T22:02:16.756Z,26.1153,125.0964,153,5.9,mww,,16,2.501,0.82,us,us6000dww9,2021-04-18T06:31:21.364Z,"146 km N of Hirara, Japan",earthquake,6,1.3,0.046,46,reviewed,us,us
2021-03-26T21:12:13.527Z,-62.4047,-161.2509,10,5.5,mww,,132,18.462,1.09,us,us6000dwvy,2021-03-28T19:15:10.450Z,"Pacific-Antarctic Ridge",earthquake,13.9,1.7,0.098,10,reviewed,us,us
2021-03-26T21:03:27.967Z,-62.5174,-161.607,10,5.8,mww,,55,18.297,0.75,us,us6000dwvx,2021-04-03T22:23:44.130Z,"Pacific-Antarctic Ridge",earthquake,10.4,1.7,0.098,10,reviewed,us,us
2021-03-26T04:51:38.957Z,16.7105,-60.7958,19,5.8,mww,,24,0.472,0.95,us,us6000dwkd,2021-03-27T04:55:32.203Z,"53 km NNE of Beauséjour, Guadeloupe",earthquake,1.8,1.8,0.058,29,reviewed,us,us
2021-03-25T03:57:21.011Z,-26.0988,178.4505,590.74,5.5,mww,,35,4.486,0.87,us,us6000dw8i,2021-04-09T05:02:54.784Z,"south of the Fiji Islands",earthquake,6,5.3,0.086,13,reviewed,us,us
2021-03-20T15:42:38.260Z,-23.1359,171.6945,10,5.5,mww,,106,4.908,1.01,us,us7000dl8y,2021-04-15T16:22:10.976Z,"southeast of the Loyalty Islands",earthquake,10.8,1.8,0.056,31,reviewed,us,us
2021-03-20T09:09:44.002Z,38.4754,141.6328,43,7,mww,,35,2.352,0.66,us,us7000dl6y,2021-04-14T10:24:36.097Z,"29 km ENE of Ishinomaki, Japan",earthquake,7.1,1.9,0.045,47,reviewed,us,us
2021-03-20T05:19:31.865Z,-59.6179,150.3277,10,6,mwb,,91,6.958,0.54,us,us7000dl5j,2021-04-02T15:04:26.148Z,"west of Macquarie Island",earthquake,10.3,1.9,0.05,38,reviewed,us,us
2021-03-20T05:09:36.022Z,-24.65,-175.8853,18.78,5.5,mww,,72,4.926,0.8,us,us7000dl5h,2021-04-02T14:18:06.757Z,"south of Tonga",earthquake,11,4.3,0.058,29,reviewed,us,us
2021-03-20T03:06:32.037Z,16.5866,-98.8134,20.51,5.7,mww,,84,0.999,1.08,us,us7000dl4v,2021-04-17T01:06:55.950Z,"0 km NE of Marquelia, Mexico",earthquake,3.2,3.6,0.041,57,reviewed,us,us
2021-03-20T01:49:17.947Z,47.2974,-27.2713,8,6,mww,,32,14.602,1.04,us,us7000dl4i,2021-04-17T00:53:34.768Z,"northern Mid-Atlantic Ridge",earthquake,5.1,1.8,0.043,51,reviewed,us,us
2021-03-19T18:52:43.356Z,-35.4897,178.685,170.28,5.6,mww,,24,2.09,0.88,us,us7000dl1u,2021-04-16T17:12:35.334Z,"off the east coast of the North Island of New Zealand",earthquake,4.4,3.7,0.057,30,reviewed,us,us
2021-03-19T06:11:27.113Z,31.9244,92.9147,8,5.7,mww,,19,2.695,0.59,us,us7000dkv0,2021-04-02T13:35:00.036Z,"95 km ENE of Nagqu, China",earthquake,7.1,1.8,0.086,13,reviewed,us,us
2021-03-18T23:39:41.795Z,-9.5515,155.5789,5,5.5,mww,,30,4.311,0.63,us,us7000dksx,2021-03-22T02:33:12.094Z,"212 km SW of Gizo, Solomon Islands",earthquake,4,1.7,0.061,26,reviewed,us,us
2021-03-18T00:04:06.696Z,36.9202,5.2011,8,6,mww,,20,3.06,0.44,us,us7000dker,2021-04-15T03:02:40.819Z,"21 km NNE of Bejaïa, Algeria",earthquake,6.9,1.8,0.033,86,reviewed,us,us
2021-03-17T00:12:49.542Z,-40.7777,-85.2756,10,5.7,mww,,83,8.78,0.95,us,us7000dk22,2021-03-26T02:28:29.414Z,"West Chile Rise",earthquake,10.7,1.9,0.063,24,reviewed,us,us
2021-03-17T00:04:58.799Z,-1.797,69.1469,10,5.6,mww,,51,4.469,1.02,us,us7000dk21,2021-03-26T02:21:02.497Z,"Carlsberg Ridge",earthquake,7.9,1.8,0.078,16,reviewed,us,us
2021-03-16T18:38:21.233Z,54.7368,163.1803,13.23,6.6,mww,,18,3.183,0.81,us,us7000djz6,2021-04-14T18:46:31.250Z,"171 km SSE of Ust’-Kamchatsk Staryy, Russia",earthquake,6.5,2.6,0.052,36,reviewed,us,us
2021-03-14T13:35:32.729Z,-59.531,-29.745,10,5.5,mww,,67,13.532,0.61,us,us7000djam,2021-03-23T19:23:05.352Z,"South Sandwich Islands region",earthquake,11.5,1.8,0.093,11,reviewed,us,us
2021-03-14T12:05:13.343Z,-59.883,-29.4687,10,6,mww,,74,6.79,0.65,us,us7000dj9v,2021-04-01T05:27:19.757Z,"South Sandwich Islands region",earthquake,9.4,1.9,0.059,28,reviewed,us,us
2021-03-13T21:21:58.513Z,-28.1479,-176.6448,14,6,mww,,22,1.57,0.79,us,us7000dj5p,2021-03-28T03:43:10.354Z,"Kermadec Islands region",earthquake,8,1.8,0.053,34,reviewed,us,us
2021-03-13T14:05:01.181Z,-29.8599,-177.8541,34,5.9,mww,,47,0.616,0.94,us,us7000dj39,2021-04-11T16:17:41.704Z,"Kermadec Islands, New Zealand",earthquake,8,1.8,0.041,58,reviewed,us,us
2021-03-12T12:57:51.330Z,39.8809,22.088,10,5.6,mww,,31,0.38,0.45,us,us7000dimf,2021-04-18T20:06:40.040Z,"8 km W of Elassóna, Greece",earthquake,4.1,1.8,0.043,53,reviewed,us,us
2021-03-12T08:54:13.201Z,-22.392,174.3924,16,5.9,mww,,120,5.762,0.66,us,us7000dick,2021-03-28T10:58:46.074Z,"southeast of the Loyalty Islands",earthquake,9.5,1.9,0.069,20,reviewed,us,us
2021-03-12T01:16:16.665Z,-4.666,138.364,10,5.5,mww,,26,6.343,1.04,us,us7000dia5,2021-04-08T21:42:29.125Z,"Papua, Indonesia",earthquake,8.2,1.7,0.075,17,reviewed,us,us
2021-03-12T00:03:19.179Z,-25.1558,178.3896,541,5.8,mww,,12,5.228,0.97,us,us7000di9v,2021-03-22T03:41:36.848Z,"south of the Fiji Islands",earthquake,3.7,1.9,0.069,20,reviewed,us,us
2021-03-10T20:12:37.735Z,-20.156,-177.6158,488,5.9,mww,,20,4.749,1.06,us,us7000dhxm,2021-04-15T14:49:28.028Z,"273 km WNW of Haveluloto, Tonga",earthquake,10.4,1.9,0.055,32,reviewed,us,us
2021-03-08T12:56:34.235Z,-4.4237,101.0085,10,5.5,mb,,99,1.942,0.66,us,us7000dh3d,2021-04-05T06:43:51.302Z,"155 km WSW of Bengkulu, Indonesia",earthquake,6.7,1.7,0.064,83,reviewed,us,us
2021-03-07T23:56:54.137Z,-29.602,-176.8818,10,5.8,mww,,73,0.98,1.34,us,us7000dgze,2021-04-13T05:15:35.426Z,"Kermadec Islands region",earthquake,7.4,1.8,0.06,27,reviewed,us,us
2021-03-07T19:28:48.047Z,-28.5588,-177.0083,10,5.5,mb,,58,1.058,0.69,us,us7000dgxr,2021-04-04T13:26:14.807Z,"Kermadec Islands region",earthquake,10,1.8,0.031,350,reviewed,us,us
2021-03-07T07:56:19.691Z,-32.3938,-178.0058,11,5.6,mww,,69,3.139,0.75,us,us7000dgt1,2021-04-15T10:53:42.940Z,"south of the Kermadec Islands",earthquake,9.2,1.9,0.058,29,reviewed,us,us
2021-03-07T04:54:00.079Z,-37.1711,179.6183,10.81,5.6,mww,,54,1.115,1.09,us,us7000dgr6,2021-04-02T23:51:22.064Z,"217 km NE of Gisborne, New Zealand",earthquake,6.3,3.3,0.089,12,reviewed,us,us
2021-03-07T04:10:26.784Z,-29.2255,-176.5436,11,5.5,mww,,45,1.211,1.27,us,us7000dgqr,2021-04-02T23:29:19.485Z,"Kermadec Islands region",earthquake,2.6,1.8,0.061,26,reviewed,us,us
2021-03-07T01:55:10.361Z,-28.4626,-176.5952,8,5.5,mww,,102,1.405,1.28,us,us7000dgpx,2021-04-02T22:26:21.830Z,"Kermadec Islands region",earthquake,10.3,1.8,0.063,24,reviewed,us,us
2021-03-06T23:30:05.387Z,-28.3822,-177.7721,17.61,5.5,mww,,61,0.87,0.58,us,us7000dgp3,2021-03-26T02:03:05.834Z,"Kermadec Islands region",earthquake,8.9,3.4,0.075,17,reviewed,us,us
2021-03-06T18:51:12.620Z,20.8917,144.3647,10,5.7,mww,,21,5.788,0.82,us,us7000dgkw,2021-04-17T19:01:23.178Z,"Maug Islands region, Northern Mariana Islands",earthquake,7.9,1.7,0.048,42,reviewed,us,us
2021-03-06T18:18:33.634Z,21.0971,144.441,10,5.5,mww,,34,5.971,0.71,us,us7000dgkl,2021-04-17T18:28:35.630Z,"Mariana Islands region",earthquake,8.1,1.8,0.093,11,reviewed,us,us
2021-03-06T17:13:13.492Z,-30.2102,-176.9281,9,5.6,mww,,55,1.297,1.04,us,us7000dgk1,2021-04-15T21:15:39.057Z,"Kermadec Islands region",earthquake,7.2,1.8,0.046,46,reviewed,us,us
2021-03-06T13:12:05.498Z,-28.2896,-177.6283,10,6.1,mww,,49,0.987,0.83,us,us7000dgi0,2021-04-18T13:55:12.101Z,"Kermadec Islands region",earthquake,7.1,1.8,0.046,45,reviewed,us,us
2021-03-06T12:05:23.693Z,-28.3565,-177.8739,15,6.2,mww,,50,0.886,0.64,us,us7000dgh7,2021-04-04T06:28:09.935Z,"Kermadec Islands region",earthquake,7.7,1.8,0.047,44,reviewed,us,us
2021-03-06T10:34:47.134Z,-28.4217,-177.7664,10,6.2,mww,,69,0.832,0.77,us,us7000dggf,2021-04-15T07:44:50.012Z,"Kermadec Islands region",earthquake,5.6,1.8,0.065,23,reviewed,us,us
2021-03-06T07:20:29.616Z,-28.4727,-178.1626,10,5.5,mb,,68,0.796,0.76,us,us7000dgdw,2021-03-24T12:29:49.877Z,"Kermadec Islands region",earthquake,7.3,1.9,0.065,83,reviewed,us,us
2021-03-06T07:16:29.302Z,-28.6263,-177.0009,10,6.1,mww,,62,1.02,0.82,us,us7000dgdc,2021-04-15T06:55:46.798Z,"Kermadec Islands region",earthquake,6.9,1.7,0.065,23,reviewed,us,us
2021-03-06T07:16:19.959Z,-28.6453,-177.0093,10,5.6,mb,,161,1.003,0.53,us,us7000dgdp,2021-04-15T06:20:44.194Z,"Kermadec Islands region",earthquake,10.7,1.9,0.097,37,reviewed,us,us
2021-03-06T07:02:24.238Z,-28.4763,-178.011,10,5.8,mww,,62,0.769,0.7,us,us7000dgd9,2021-03-24T10:41:14.906Z,"Kermadec Islands region",earthquake,6.8,1.8,0.083,14,reviewed,us,us
2021-03-06T03:59:46.489Z,-29.9349,-176.8036,10.1,5.5,mww,,67,1.197,1.11,us,us7000dgbu,2021-04-02T21:00:13.524Z,"Kermadec Islands region",earthquake,10,2.8,0.062,25,reviewed,us,us
2021-03-06T00:16:22.239Z,-37.5608,179.567,13,6.3,mww,,34,1.001,0.86,us,us7000dg8x,2021-04-13T04:16:28.321Z,"183 km NE of Gisborne, New Zealand",earthquake,8.1,1.7,0.054,33,reviewed,us,us
2021-03-05T23:17:31.412Z,-28.8909,-176.8884,16.66,5.6,mww,,53,0.976,0.65,us,us7000dg8c,2021-03-29T03:38:54.250Z,"Kermadec Islands region",earthquake,4.8,3.4,0.098,10,reviewed,us,us
2021-03-05T20:26:35.723Z,-30.1474,-177.0255,11,5.9,mww,,34,1.194,0.74,us,us7000dg5x,2021-03-31T17:21:00.393Z,"Kermadec Islands, New Zealand",earthquake,7.4,1.8,0.047,44,reviewed,us,us
2021-03-05T19:40:34.934Z,-28.2409,-177.7272,8,5.7,mwb,,57,1.016,0.69,us,us7000dg5e,2021-04-15T21:41:31.864Z,"Kermadec Islands region",earthquake,8.2,1.8,0.11,8,reviewed,us,us
2021-03-05T19:37:08.174Z,-28.3723,-177.7317,10,5.7,mww,,76,0.886,0.56,us,us7000dg5d,2021-03-31T13:58:27.090Z,"Kermadec Islands region",earthquake,9,1.8,0.098,10,reviewed,us,us
2021-03-05T19:34:53.074Z,-30.27,-177.3014,10,5.5,mb,,46,1.158,0.66,us,us7000dg55,2021-04-15T21:50:30.832Z,"Kermadec Islands, New Zealand",earthquake,7.5,1.8,0.046,171,reviewed,us,us
2021-03-05T18:57:21.193Z,-28.44,-176.606,16,5.5,mww,,54,1.41,0.53,us,us7000dg4u,2021-03-30T19:58:00.938Z,"Kermadec Islands region",earthquake,9.3,1.8,0.075,17,reviewed,us,us
2021-03-05T14:24:52.718Z,-28.8983,-176.6099,14,6.2,mww,,59,1.205,1.08,us,us7000dfz4,2021-04-18T13:27:58.620Z,"Kermadec Islands region",earthquake,8.3,1.8,0.073,18,reviewed,us,us
2021-03-05T08:13:40.330Z,-29.5509,-176.0077,15,5.9,mww,,132,9.289,1.01,us,us7000dfwe,2021-03-20T07:06:19.259Z,"Kermadec Islands region",earthquake,11.2,1.9,0.048,41,reviewed,us,us
2021-03-05T07:32:55.148Z,-1.7567,99.2329,25,5.6,mww,,135,2.746,0.71,us,us7000dfw2,2021-04-15T05:21:31.395Z,"153 km SW of Padang, Indonesia",earthquake,6.6,1.9,0.098,10,reviewed,us,us
2021-03-05T03:53:04.501Z,-29.6071,-176.7021,10,5.6,mww,,57,1.129,1.02,us,us7000dfu7,2021-04-02T04:50:06.882Z,"Kermadec Islands region",earthquake,10.4,1.8,0.098,10,reviewed,us,us
