,status,elevation,name,country,coordinates,location,year,type,vei,total_deaths_description
4,Historical,3350,Etna,Italy,"[37.734, 15.004]",Italy,1329,Stratovolcano,1.0,Many (~101 to 1000 deaths)
5,Historical,1491,Hekla,Iceland,"[63.98, -19.7]",Iceland-S,1510,Stratovolcano,4.0,Many (~101 to 1000 deaths)
8,Historical,1357,Makian,Indonesia,"[0.32, 127.4]",Halmahera-Indonesia,1646,Stratovolcano,4.0,Many (~101 to 1000 deaths)
9,Historical,2426,La Palma,Spain,"[28.58, -17.83]",Canary Is,1677,Stratovolcano,2.0,Few (~1 to 50 deaths)
10,Historical,2523,Hualalai,United States,"[19.692, -155.87]",Hawaiian Is,1784,Shield volcano,0.0,Few (~1 to 50 deaths)
11,Historical,2549,St. Helens,United States,"[46.2, -122.18]",US-Washington,1800,Stratovolcano,5.0,Many (~101 to 1000 deaths)
12,Historical,640,Banda Api,Pacific Ocean,"[-4.525, 129.871]",Banda Sea,1820,Caldera,2.0,Few (~1 to 50 deaths)
14,Historical,3350,Etna,Italy,"[37.734, 15.004]",Italy,1843,Stratovolcano,2.0,Some (~51 to 100 deaths)
15,Historical,2565,Dieng Volc Complex,Indonesia,"[-7.2, 109.92]",Java,1847,Complex volcano,2.0,Some (~51 to 100 deaths)
18,Historical,725,Ruang,Indonesia,"[2.28, 125.425]",Sangihe Is-Indonesia,1870,Stratovolcano,2.0,Few (~1 to 50 deaths)
19,Historical,1018,Iliwerung,Indonesia,"[-8.54, 123.59]",Lesser Sunda Is,1870,Complex volcano,3.0,Few (~1 to 50 deaths)
20,Historical,4650,Purace,Colombia,"[2.32, -76.4]",Colombia,1885,Stratovolcano,3.0,Some (~51 to 100 deaths)
22,Historical,1220,Soufriere St. Vincent,St. Vincent & the Grenadines,"[13.33, -61.18]",W Indies,1902,Stratovolcano,4.0,Very Many (~1001 or more deaths)
24,Historical,2176,Kusatsu-Shirane,Japan,"[36.62, 138.55]",Honshu-Japan,1932,Stratovolcano,3.0,Few (~1 to 50 deaths)
27,Historical,1580,Lokon-Empung,Indonesia,"[1.358, 124.792]",Sulawesi-Indonesia,1991,Stratovolcano,1.0,Few (~1 to 50 deaths)
28,Historical,2552,Pacaya,Guatemala,"[14.381, -90.601]",Guatemala,1995,Complex volcano,3.0,Few (~1 to 50 deaths)
31,Historical,1715,Gamalama,Indonesia,"[0.8, 127.325]",Halmahera-Indonesia,2011,Stratovolcano,3.0,Few (~1 to 50 deaths)
34,Historical,5911,Cotopaxi,Ecuador,"[-0.677, -78.436]",Ecuador,-455,Stratovolcano,4.0,Few (~1 to 50 deaths)
36,Historical,2119,Oraefajokull,Iceland,"[64.0, -16.65]",Iceland-SE,1362,Stratovolcano,5.0,Many (~101 to 1000 deaths)
37,Historical,1731,Kelut,Indonesia,"[-7.93, 112.308]",Java,1385,Stratovolcano,3.0,Few (~1 to 50 deaths)
38,Historical,805,Furnas,Portugal,"[37.77, -25.32]",Azores,1630,Stratovolcano,4.0,Many (~101 to 1000 deaths)
39,Historical,3350,Etna,Italy,"[37.734, 15.004]",Italy,1669,Stratovolcano,3.0,Many (~101 to 1000 deaths)
40,Historical,1496,Aoba,Vanuatu,"[-15.4, 167.83]",Vanuatu-SW Pacific,1670,Shield volcano,2.0,Many (~101 to 1000 deaths)
41,Historical,2249,Guntur,Indonesia,"[-7.13, 107.83]",Java,1690,Complex volcano,3.0,Few (~1 to 50 deaths)
42,Historical,2462,Mayon,Philippines,"[13.257, 123.685]",Luzon-Philippines,1766,Stratovolcano,3.0,Few (~1 to 50 deaths)
43,Historical,423,Aoga-shima,Japan,"[32.45, 139.77]",Izu Is-Japan,1780,Stratovolcano,3.0,Few (~1 to 50 deaths)
44,Historical,1725,Grimsvotn,Iceland,"[64.42, -17.33]",Iceland-NE,1784,Caldera,4.0,Very Many (~1001 or more deaths)
45,Historical,1925,Victory,Papua New Guinea,"[-9.2, 149.07]",New Guinea,1890,Stratovolcano,2.0,Many (~101 to 1000 deaths)
46,Historical,2560,Asama,Japan,"[36.4, 138.53]",Honshu-Japan,1913,Complex volcano,1.0,Few (~1 to 50 deaths)
47,Historical,2077,Tokachi,Japan,"[43.42, 142.68]",Hokkaido-Japan,1926,Stratovolcano,3.0,Many (~101 to 1000 deaths)
48,Historical,3763,Fuego,Guatemala,"[14.473, -90.88]",Guatemala,1932,Stratovolcano,4.0,Few (~1 to 50 deaths)
49,Historical,2847,Villarrica,Chile,"[-39.42, -71.93]",Chile-C,1964,Stratovolcano,2.0,Few (~1 to 50 deaths)
51,Historical,2947,Merapi,Indonesia,"[-7.542, 110.442]",Java,1974,Stratovolcano,2.0,Few (~1 to 50 deaths)
52,Historical,3470,Nyiragongo,"Congo, DRC","[-1.52, 29.25]",Africa-C,1977,Stratovolcano,1.0,Some (~51 to 100 deaths)
53,Historical,2865,Lonquimay,Chile,"[-38.377, -71.58]",Chile-C,1988,Stratovolcano,3.0,Few (~1 to 50 deaths)
54,Historical,1500,Unzen,Japan,"[32.75, 130.3]",Kyushu-Japan,1991,Complex volcano,1.0,Few (~1 to 50 deaths)
55,Historical,4784,Guagua Pichincha,Ecuador,"[-0.171, -78.598]",Ecuador,1993,Stratovolcano,1.0,Few (~1 to 50 deaths)
56,Historical,5023,Tungurahua,Ecuador,"[-1.467, -78.442]",Ecuador,2008,Stratovolcano,3.0,Few (~1 to 50 deaths)
57,Holocene,2218,Nabro,Eritrea,"[13.37, 41.7]",Africa-NE,2011,Stratovolcano,3.0,Few (~1 to 50 deaths)
61,Historical,1731,Kelut,Indonesia,"[-7.93, 112.308]",Java,1334,Stratovolcano,3.0,Few (~1 to 50 deaths)
62,Historical,1635,Gamkonora,Indonesia,"[1.375, 127.52]",Halmahera-Indonesia,1564,Stratovolcano,3.0,Few (~1 to 50 deaths)
63,Historical,1320,Awu,Indonesia,"[3.67, 125.5]",Sangihe Is-Indonesia,1711,Stratovolcano,3.0,Very Many (~1001 or more deaths)
65,Historical,5911,Cotopaxi,Ecuador,"[-0.677, -78.436]",Ecuador,1877,Stratovolcano,4.0,Many (~101 to 1000 deaths)
66,Historical,1320,Awu,Indonesia,"[3.67, 125.5]",Sangihe Is-Indonesia,1892,Stratovolcano,3.0,Very Many (~1001 or more deaths)
67,Historical,3676,Semeru,Indonesia,"[-8.108, 112.92]",Java,1895,Stratovolcano,2.0,Few (~1 to 50 deaths)
68,Historical,1839,Karkar,Papua New Guinea,"[-4.649, 145.964]",New Guinea-NE of,1895,Stratovolcano,2.0,Few (~1 to 50 deaths)
70,Historical,2361,Karthala,Comoros,"[-11.75, 43.38]",Indian O-W,1904,Shield volcano,2.0,Few (~1 to 50 deaths)
71,Historical,1281,Vesuvius,Italy,"[40.821, 14.426]",Italy,1906,Complex volcano,3.0,Many (~101 to 1000 deaths)
72,Historical,3350,Etna,Italy,"[37.734, 15.004]",Italy,1928,Stratovolcano,1.0,Few (~1 to 50 deaths)
74,Historical,2947,Merapi,Indonesia,"[-7.542, 110.442]",Java,1930,Stratovolcano,3.0,Very Many (~1001 or more deaths)
75,Historical,1145,Kharimkotan,Russia,"[49.12, 154.508]",Kuril Is,1933,Stratovolcano,3.0,Few (~1 to 50 deaths)
76,Historical,649,Kuchinoerabu-jima,Japan,"[30.43, 130.22]",Ryukyu Is,1933,Stratovolcano,4.0,Few (~1 to 50 deaths)
77,Historical,3676,Semeru,Indonesia,"[-8.108, 112.92]",Java,1950,Stratovolcano,1.0,Few (~1 to 50 deaths)
78,Historical,2631,"Fournaise, Piton de la",Reunion,"[-21.229, 55.713]",Indian O-W,1972,Shield volcano,2.0,Few (~1 to 50 deaths)
79,Historical,731,Usu,Japan,"[42.53, 140.83]",Hokkaido-Japan,1978,Stratovolcano,3.0,Few (~1 to 50 deaths)
82,Historical,3562,Reventador,Ecuador,"[-0.078, -77.656]",Ecuador,2002,Stratovolcano,4.0,Few (~1 to 50 deaths)
90,Historical,1592,Aso,Japan,"[32.88, 131.1]",Kyushu-Japan,1485,Caldera,2.0,Few (~1 to 50 deaths)
91,Historical,1185,Dukono,Indonesia,"[1.68, 127.88]",Halmahera-Indonesia,1550,Complex volcano,3.0,Few (~1 to 50 deaths)
92,Historical,3850,Colima,Mexico,"[19.514, -103.62]",Mexico,1576,Stratovolcano,3.0,Few (~1 to 50 deaths)
94,Historical,2560,Asama,Japan,"[36.4, 138.53]",Honshu-Japan,1598,Complex volcano,2.0,Many (~101 to 1000 deaths)
95,Historical,670,Lanzarote,Spain,"[29.03, -13.63]",Canary Is,1730,Fissure vent,2.0,Few (~1 to 50 deaths)
