country,coordinates,type,vei,year
United States,"[56.17, -159.38]",Stratovolcano,6.0,1969-12-31
United States,"[61.38, -141.75]",Stratovolcano,6.0,1970-01-01
Iceland,"[63.98, -19.7]",Stratovolcano,4.0,1970-01-01
Italy,"[37.734, 15.004]",Stratovolcano,1.0,1970-01-01
Iceland,"[63.98, -19.7]",Stratovolcano,4.0,1970-01-01
Guatemala,"[14.473, -90.88]",Stratovolcano,3.0,1970-01-01
Indonesia,"[0.32, 127.4]",Stratovolcano,4.0,1970-01-01
United States,"[19.692, -155.87]",Shield volcano,0.0,1970-01-01
United States,"[46.2, -122.18]",Stratovolcano,5.0,1970-01-01
Italy,"[37.734, 15.004]",Stratovolcano,2.0,1970-01-01
Indonesia,"[-7.2, 109.92]",Complex volcano,2.0,1970-01-01
United States,"[-14.175, -169.618]",Shield volcano,2.0,1970-01-01
Indonesia,"[2.28, 125.425]",Stratovolcano,2.0,1970-01-01
Indonesia,"[-8.54, 123.59]",Complex volcano,3.0,1970-01-01
Japan,"[36.62, 138.55]",Stratovolcano,3.0,1970-01-01
Indonesia,"[1.358, 124.792]",Stratovolcano,1.0,1970-01-01
Guatemala,"[14.381, -90.601]",Complex volcano,3.0,1970-01-01
Guatemala,"[14.473, -90.88]",Stratovolcano,2.0,1970-01-01
Indonesia,"[0.8, 127.325]",Stratovolcano,3.0,1970-01-01
Ecuador,"[-0.677, -78.436]",Stratovolcano,4.0,1969-12-31
Ecuador,"[-1.467, -78.442]",Stratovolcano,5.0,1969-12-31
Iceland,"[64.0, -16.65]",Stratovolcano,5.0,1970-01-01
Indonesia,"[-7.93, 112.308]",Stratovolcano,3.0,1970-01-01
Italy,"[37.734, 15.004]",Stratovolcano,3.0,1970-01-01
Indonesia,"[-7.13, 107.83]",Complex volcano,3.0,1970-01-01
Philippines,"[13.257, 123.685]",Stratovolcano,3.0,1970-01-01
Japan,"[32.45, 139.77]",Stratovolcano,3.0,1970-01-01
Iceland,"[64.42, -17.33]",Caldera,4.0,1970-01-01
Papua New Guinea,"[-9.2, 149.07]",Stratovolcano,2.0,1970-01-01
Japan,"[36.4, 138.53]",Complex volcano,1.0,1970-01-01
Japan,"[43.42, 142.68]",Stratovolcano,3.0,1970-01-01
Guatemala,"[14.473, -90.88]",Stratovolcano,4.0,1970-01-01
Indonesia,"[-7.542, 110.442]",Stratovolcano,2.0,1970-01-01
Japan,"[32.75, 130.3]",Complex volcano,1.0,1970-01-01
Ecuador,"[-0.171, -78.598]",Stratovolcano,1.0,1970-01-01
